sample_index,sample_id,source_index,role
315,ODH_charity_0616:row:315,1752,u0
316,ODH_charity_0616:row:316,1753,u0
317,ODH_charity_0616:row:317,1754,u0
318,ODH_charity_0616:row:318,1755,u0
319,ODH_charity_0616:row:319,1764,validation
320,ODH_charity_0616:row:320,1773,u0
321,ODH_charity_0616:row:321,1774,u0
322,ODH_charity_0616:row:322,1783,validation
323,ODH_charity_0616:row:323,1784,validation
324,ODH_charity_0616:row:324,1799,validation
325,ODH_charity_0616:row:325,1806,u0
326,ODH_charity_0616:row:326,1807,u0
327,ODH_charity_0616:row:327,1808,test
328,ODH_charity_0616:row:328,1809,u0
329,ODH_charity_0616:row:329,1810,u0
330,ODH_charity_0616:row:330,1811,u0
331,ODH_charity_0616:row:331,1824,u0
332,ODH_charity_0616:row:332,1825,u0
333,ODH_charity_0616:row:333,1826,u0
334,ODH_charity_0616:row:334,1827,u0
335,ODH_charity_0616:row:335,1834,u0
336,ODH_charity_0616:row:336,1835,u0
337,ODH_charity_0616:row:337,1862,u0
338,ODH_charity_0616:row:338,1863,u0
339,ODH_charity_0616:row:339,1864,u0
340,ODH_charity_0616:row:340,1865,u0
341,ODH_charity_0616:row:341,1866,u0
342,ODH_charity_0616:row:342,1867,u0
343,ODH_charity_0616:row:343,1900,u0
344,ODH_charity_0616:row:344,1901,validation
345,ODH_charity_0616:row:345,1910,u0
346,ODH_charity_0616:row:346,1911,u0
347,ODH_charity_0616:row:347,1912,u0
348,ODH_charity_0616:row:348,1913,u0
349,ODH_charity_0616:row:349,1938,u0
350,ODH_charity_0616:row:350,1939,u0
351,ODH_charity_0616:row:351,1940,u0
352,ODH_charity_0616:row:352,1941,u0
353,ODH_charity_0616:row:353,1942,u0
354,ODH_charity_0616:row:354,1943,u0
355,ODH_charity_0616:row:355,1946,u0
356,ODH_charity_0616:row:356,1947,u0
357,ODH_charity_0616:row:357,1949,u0
358,ODH_charity_0616:row:358,1950,u0
359,ODH_charity_0616:row:359,1951,u0
360,ODH_charity_0616:row:360,1952,u0
361,ODH_charity_0616:row:361,1969,u0
362,ODH_charity_0616:row:362,1970,u0
363,ODH_charity_0616:row:363,1975,u0
364,ODH_charity_0616:row:364,1976,l0
365,ODH_charity_0616:row:365,1977,u0
366,ODH_charity_0616:row:366,1978,u0
367,ODH_charity_0616:row:367,2005,u0
368,ODH_charity_0616:row:368,2006,u0
369,ODH_charity_0616:row:369,2007,u0
370,ODH_charity_0616:row:370,2008,u0
371,ODH_charity_0616:row:371,2009,u0
372,ODH_charity_0616:row:372,2010,u0
373,ODH_charity_0616:row:373,2011,u0
374,ODH_charity_0616:row:374,2012,u0
375,ODH_charity_0616:row:375,2028,u0
376,ODH_charity_0616:row:376,2029,u0
377,ODH_charity_0616:row:377,2030,u0
378,ODH_charity_0616:row:378,2031,u0
379,ODH_charity_0616:row:379,2046,u0
380,ODH_charity_0616:row:380,2047,test
381,ODH_charity_0616:row:381,2058,u0
382,ODH_charity_0616:row:382,2059,u0
383,ODH_charity_0616:row:383,2086,u0
384,ODH_charity_0616:row:384,2087,u0
385,ODH_charity_0616:row:385,2088,u0
386,ODH_charity_0616:row:386,2125,u0
387,ODH_charity_0616:row:387,2126,u0
388,ODH_charity_0616:row:388,2141,u0
389,ODH_charity_0616:row:389,2142,u0
390,ODH_charity_0616:row:390,2143,test
391,ODH_charity_0616:row:391,2144,test
392,ODH_charity_0616:row:392,2145,u0
393,ODH_charity_0616:row:393,2146,u0
394,ODH_charity_0616:row:394,2149,u0
395,ODH_charity_0616:row:395,2150,u0
396,ODH_charity_0616:row:396,2151,l0
397,ODH_charity_0616:row:397,2173,u0
398,ODH_charity_0616:row:398,2174,u0
399,ODH_charity_0616:row:399,2175,u0
400,ODH_charity_0616:row:400,2176,u0
401,ODH_charity_0616:row:401,2177,u0
402,ODH_charity_0616:row:402,2178,u0
403,ODH_charity_0616:row:403,2200,l0
404,ODH_charity_0616:row:404,2201,l0
405,ODH_charity_0616:row:405,2230,u0
406,ODH_charity_0616:row:406,2231,test
407,ODH_charity_0616:row:407,2232,u0
408,ODH_charity_0616:row:408,2233,u0
409,ODH_charity_0616:row:409,2259,u0
410,ODH_charity_0616:row:410,2260,u0
411,ODH_charity_0616:row:411,2261,u0
412,ODH_charity_0616:row:412,2262,u0
413,ODH_charity_0616:row:413,2273,u0
414,ODH_charity_0616:row:414,2274,u0
415,ODH_charity_0616:row:415,2286,u0
416,ODH_charity_0616:row:416,2289,u0
417,ODH_charity_0616:row:417,2290,u0
418,ODH_charity_0616:row:418,2293,u0
419,ODH_charity_0616:row:419,2294,u0
420,ODH_charity_0616:row:420,2307,u0
421,ODH_charity_0616:row:421,2308,u0
422,ODH_charity_0616:row:422,2309,u0
423,ODH_charity_0616:row:423,2310,u0
424,ODH_charity_0616:row:424,2311,u0
425,ODH_charity_0616:row:425,2312,validation
426,ODH_charity_0616:row:426,2313,l0
427,ODH_charity_0616:row:427,2314,validation
428,ODH_charity_0616:row:428,2332,validation
429,ODH_charity_0616:row:429,2333,u0
430,ODH_charity_0616:row:430,2351,u0
431,ODH_charity_0616:row:431,2368,u0
432,ODH_charity_0616:row:432,2369,u0
433,ODH_charity_0616:row:433,2385,u0
434,ODH_charity_0616:row:434,2386,u0
435,ODH_charity_0616:row:435,2387,u0
436,ODH_charity_0616:row:436,2392,l0
437,ODH_charity_0616:row:437,2393,u0
438,ODH_charity_0616:row:438,2398,u0
439,ODH_charity_0616:row:439,2399,u0
440,ODH_charity_0616:row:440,2400,u0
441,ODH_charity_0616:row:441,2401,u0
442,ODH_charity_0616:row:442,2402,u0
443,ODH_charity_0616:row:443,2423,u0
444,ODH_charity_0616:row:444,2424,u0
445,ODH_charity_0616:row:445,2433,u0
446,ODH_charity_0616:row:446,2434,u0
447,ODH_charity_0616:row:447,2443,test
448,ODH_charity_0616:row:448,2444,u0
449,ODH_charity_0616:row:449,2457,u0
450,ODH_charity_0616:row:450,2458,u0
451,ODH_charity_0616:row:451,2459,test
452,ODH_charity_0616:row:452,2460,u0
453,ODH_charity_0616:row:453,2461,u0
454,ODH_charity_0616:row:454,2462,u0
455,ODH_charity_0616:row:455,2463,u0
456,ODH_charity_0616:row:456,2464,l0
457,ODH_charity_0616:row:457,2473,validation
458,ODH_charity_0616:row:458,2474,u0
459,ODH_charity_0616:row:459,2499,u0
460,ODH_charity_0616:row:460,2500,u0
461,ODH_charity_0616:row:461,2507,u0
462,ODH_charity_0616:row:462,2508,u0
463,ODH_charity_0616:row:463,2543,u0
464,ODH_charity_0616:row:464,2544,u0
465,ODH_charity_0616:row:465,2545,validation
466,ODH_charity_0616:row:466,2546,u0
467,ODH_charity_0616:row:467,2563,u0
468,ODH_charity_0616:row:468,2564,u0
469,ODH_charity_0616:row:469,2580,u0
470,ODH_charity_0616:row:470,2581,u0
471,ODH_charity_0616:row:471,2588,validation
472,ODH_charity_0616:row:472,2589,test
473,ODH_charity_0616:row:473,2623,u0
474,ODH_charity_0616:row:474,2624,u0
475,ODH_charity_0616:row:475,2641,test
476,ODH_charity_0616:row:476,2642,u0
477,ODH_charity_0616:row:477,2645,u0
478,ODH_charity_0616:row:478,2646,u0
479,ODH_charity_0616:row:479,2659,l0
480,ODH_charity_0616:row:480,2660,u0
481,ODH_charity_0616:row:481,2714,u0
482,ODH_charity_0616:row:482,2715,u0
483,ODH_charity_0616:row:483,2724,u0
484,ODH_charity_0616:row:484,2725,u0
485,ODH_charity_0616:row:485,2743,l0
486,ODH_charity_0616:row:486,2744,u0
487,ODH_charity_0616:row:487,2761,l0
488,ODH_charity_0616:row:488,2762,u0
489,ODH_charity_0616:row:489,2798,u0
490,ODH_charity_0616:row:490,2799,u0
491,ODH_charity_0616:row:491,2820,u0
492,ODH_charity_0616:row:492,2821,test
493,ODH_charity_0616:row:493,2845,validation
494,ODH_charity_0616:row:494,2846,test
495,ODH_charity_0616:row:495,2855,u0
496,ODH_charity_0616:row:496,2858,u0
497,ODH_charity_0616:row:497,2859,u0
498,ODH_charity_0616:row:498,2877,test
499,ODH_charity_0616:row:499,2900,u0
500,ODH_charity_0616:row:500,2944,u0
501,ODH_charity_0616:row:501,2945,u0
502,ODH_charity_0616:row:502,2962,u0
503,ODH_charity_0616:row:503,2963,u0
504,ODH_charity_0616:row:504,2964,u0
505,ODH_charity_0616:row:505,2965,u0
506,ODH_charity_0616:row:506,2975,u0
507,ODH_charity_0616:row:507,2976,u0
508,ODH_charity_0616:row:508,2977,l0
509,ODH_charity_0616:row:509,2978,u0
510,ODH_charity_0616:row:510,2979,u0
511,ODH_charity_0616:row:511,2980,u0
512,ODH_charity_0616:row:512,2989,u0
513,ODH_charity_0616:row:513,2990,u0
514,ODH_charity_0616:row:514,2997,u0
515,ODH_charity_0616:row:515,2998,l0
516,ODH_charity_0616:row:516,3044,u0
517,ODH_charity_0616:row:517,3049,u0
518,ODH_charity_0616:row:518,3050,u0
519,ODH_charity_0616:row:519,3075,u0
520,ODH_charity_0616:row:520,3076,u0
521,ODH_charity_0616:row:521,3095,u0
522,ODH_charity_0616:row:522,3096,u0
523,ODH_charity_0616:row:523,3097,u0
524,ODH_charity_0616:row:524,3098,l0
525,ODH_charity_0616:row:525,3111,u0
526,ODH_charity_0616:row:526,3112,l0
527,ODH_charity_0616:row:527,3113,u0
528,ODH_charity_0616:row:528,3114,u0
529,ODH_charity_0616:row:529,3115,u0
530,ODH_charity_0616:row:530,3116,u0
531,ODH_charity_0616:row:531,3121,u0
532,ODH_charity_0616:row:532,3122,u0
533,ODH_charity_0616:row:533,3150,u0
534,ODH_charity_0616:row:534,3151,u0
535,ODH_charity_0616:row:535,3158,u0
536,ODH_charity_0616:row:536,3159,u0
537,ODH_charity_0616:row:537,3201,u0
538,ODH_charity_0616:row:538,3202,u0
539,ODH_charity_0616:row:539,3209,u0
540,ODH_charity_0616:row:540,3232,u0
541,ODH_charity_0616:row:541,3233,u0
542,ODH_charity_0616:row:542,3240,u0
543,ODH_charity_0616:row:543,3241,u0
544,ODH_charity_0616:row:544,3245,u0
545,ODH_charity_0616:row:545,3246,u0
546,ODH_charity_0616:row:546,3247,u0
547,ODH_charity_0616:row:547,3248,u0
548,ODH_charity_0616:row:548,3249,u0
549,ODH_charity_0616:row:549,3250,u0
550,ODH_charity_0616:row:550,3251,u0
551,ODH_charity_0616:row:551,3252,u0
552,ODH_charity_0616:row:552,3261,u0
553,ODH_charity_0616:row:553,3262,u0
554,ODH_charity_0616:row:554,3265,u0
555,ODH_charity_0616:row:555,3272,u0
556,ODH_charity_0616:row:556,3273,validation
557,ODH_charity_0616:row:557,3274,u0
558,ODH_charity_0616:row:558,3275,test
559,ODH_charity_0616:row:559,3276,u0
560,ODH_charity_0616:row:560,3277,l0
561,ODH_charity_0616:row:561,3280,u0
562,ODH_charity_0616:row:562,3281,u0
563,ODH_charity_0616:row:563,3298,test
564,ODH_charity_0616:row:564,3299,u0
565,ODH_charity_0616:row:565,3304,u0
566,ODH_charity_0616:row:566,3305,l0
567,ODH_charity_0616:row:567,3309,u0
568,ODH_charity_0616:row:568,3312,validation
569,ODH_charity_0616:row:569,3325,u0
570,ODH_charity_0616:row:570,3326,u0
571,ODH_charity_0616:row:571,3329,u0
572,ODH_charity_0616:row:572,3330,u0
573,ODH_charity_0616:row:573,3337,u0
574,ODH_charity_0616:row:574,3338,u0
575,ODH_charity_0616:row:575,3344,u0
576,ODH_charity_0616:row:576,3345,u0
577,ODH_charity_0616:row:577,3366,u0
578,ODH_charity_0616:row:578,3367,u0
579,ODH_charity_0616:row:579,3380,u0
580,ODH_charity_0616:row:580,3381,u0
581,ODH_charity_0616:row:581,3398,test
582,ODH_charity_0616:row:582,3399,u0
583,ODH_charity_0616:row:583,3400,l0
584,ODH_charity_0616:row:584,3401,u0
585,ODH_charity_0616:row:585,3404,u0
586,ODH_charity_0616:row:586,3405,l0
587,ODH_charity_0616:row:587,3410,u0
588,ODH_charity_0616:row:588,3411,l0
589,ODH_charity_0616:row:589,3420,u0
590,ODH_charity_0616:row:590,3421,u0
591,ODH_charity_0616:row:591,3426,u0
592,ODH_charity_0616:row:592,3433,u0
593,ODH_charity_0616:row:593,3434,u0
594,ODH_charity_0616:row:594,3439,u0
595,ODH_charity_0616:row:595,3440,u0
596,ODH_charity_0616:row:596,3447,u0
597,ODH_charity_0616:row:597,3448,u0
598,ODH_charity_0616:row:598,3471,u0
599,ODH_charity_0616:row:599,3472,u0
600,ODH_charity_0616:row:600,3473,l0
601,ODH_charity_0616:row:601,3474,test
602,ODH_charity_0616:row:602,3477,u0
603,ODH_charity_0616:row:603,3478,u0
604,ODH_charity_0616:row:604,3493,u0
605,ODH_charity_0616:row:605,3494,u0
606,ODH_charity_0616:row:606,3495,u0
607,ODH_charity_0616:row:607,3496,u0
608,ODH_charity_0616:row:608,3499,u0
609,ODH_charity_0616:row:609,3500,u0
610,ODH_charity_0616:row:610,3515,u0
611,ODH_charity_0616:row:611,3516,validation
612,ODH_charity_0616:row:612,3533,u0
613,ODH_charity_0616:row:613,3534,u0
614,ODH_charity_0616:row:614,3545,u0
615,ODH_charity_0616:row:615,3546,u0
616,ODH_charity_0616:row:616,3598,u0
617,ODH_charity_0616:row:617,3599,u0
618,ODH_charity_0616:row:618,3602,u0
619,ODH_charity_0616:row:619,3607,u0
620,ODH_charity_0616:row:620,3608,u0
621,ODH_charity_0616:row:621,3622,u0
622,ODH_charity_0616:row:622,3623,u0
623,ODH_charity_0616:row:623,3632,u0
624,ODH_charity_0616:row:624,3633,u0
625,ODH_charity_0616:row:625,3646,u0
626,ODH_charity_0616:row:626,3647,validation
627,ODH_charity_0616:row:627,3658,u0
628,ODH_charity_0616:row:628,3659,u0
629,ODH_charity_0616:row:629,3662,u0
630,ODH_charity_0616:row:630,3663,u0
631,ODH_charity_0616:row:631,3691,test
632,ODH_charity_0616:row:632,3692,u0
633,ODH_charity_0616:row:633,3697,validation
634,ODH_charity_0616:row:634,3698,l0
635,ODH_charity_0616:row:635,3699,u0
636,ODH_charity_0616:row:636,3700,u0
637,ODH_charity_0616:row:637,3701,u0
638,ODH_charity_0616:row:638,3702,u0
639,ODH_charity_0616:row:639,3703,u0
640,ODH_charity_0616:row:640,3704,u0
641,ODH_charity_0616:row:641,3706,u0
642,ODH_charity_0616:row:642,3717,u0
643,ODH_charity_0616:row:643,3718,u0
